"Observed","Total","Completeness","Mean","Median","Min","Max","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"0","0","NaN",NA,NA,NA,NA,"gender_hhm_14","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Gender of/Isini se :</span></p> <p><span style=""color: #000000;"">Household member/ Lungu lekhaya #14</span></p></div>","1, Female/ Ibhinqa | 2, Male/ Indoda",NA,NA,NA,NA,NA,"[total_hhm] > 13","y",NA,NA,NA,NA,NA
"0","0","NaN","NaN",NA,"Inf","-Inf","age_hhm_14","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Age of/ Minyaka ye:</span><br /><span style=""color: #000000;"">Household member/ Lungu lekhaya #14</span></p></div>",NA,NA,"number","0","110",NA,"[total_hhm] > 13","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"h15","head_of_household_demographics",NA,"descriptive","<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""color: #843fa1;"">Household Member #15</span></p></div>",NA,NA,NA,NA,NA,NA,"[total_hhm] > 14",NA,NA,NA,NA,NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_hhm_15","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Gender of/Isini se :</span></p> <p><span style=""color: #000000;"">Household member/ Lungu lekhaya #15</span></p></div>","1, Female/ Ibhinqa | 2, Male/ Indoda",NA,NA,NA,NA,NA,"[total_hhm] > 14","y",NA,NA,NA,NA,NA
"0","0","NaN","NaN",NA,"Inf","-Inf","age_hhm_15","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Age of/ Minyaka ye:</span><br /><span style=""color: #000000;"">Household member/ Lungu lekhaya #15</span></p></div>",NA,NA,"number","0","110",NA,"[total_hhm] > 14","y",NA,NA,NA,NA,NA
"3583","3585","99.9",NA,NA,NA,NA,"age6to13_confirm","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">RA Instruction:</span><br /><br /><span style=""color: #236fa1;"">Do NOT ASK the participant the following question. Check the list of household participants above and select the correct response below:</span></p></div>","1, There are children between the age of 6 and 13 living in this HH | 2, There are NO children between the age of 6 and 13 living in this HH",NA,NA,NA,NA,NA,"[language_prefer] = '1' or [language_prefer] = '2'","y","LV",NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"highest_education","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>What is the highest level of education <span style=""text-decoration: underline;"">you have completed</span>?</p></div>","1, No education/did not attend primary school|2, Some primary|3, Completed primary|4, Some secondary|5, Completed secondary|6, Tertiary or post-secondary certification",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"highest_education_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Leliphi ibanga eliphezulu le mfundo <span style=""text-decoration: underline;"">oligqibileyo?</span></p></div>","1, Andifundanga/ Andiwafundanga amabanga aphantsi | 2, Amabanga aphantsi | 3, Ndigqibe amabanga aphantsi | 4, Amabanga aphezulu | 5, Ndigqibe amabanga aphezulu | 6, Imfundo enomsila",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"80","80","100",NA,NA,NA,NA,"highest_primary","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>What was the highest grade level <span style=""text-decoration: underline;"">you</span> completed?</p></div>","1, Grade 1|2, Grade 2|3, Grade 3|4, Grade 4|5, Grade 5|6, Grade 6|7, Grade 7",NA,NA,NA,NA,NA,"[highest_education] = '2' and [language_prefer] = '1'","y",NA,NA,NA,NA,NA
"309","309","100",NA,NA,NA,NA,"highest_primary_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Leliphi ibanga eliphezulu <span style=""text-decoration: underline;"">oligqibileyo</span>?</p></div>","1, Ibanga lokuqala | 2, Ibanga lesibini | 3, Ibanga lesithathu | 4, Ibanga lesine | 5, Ibanga lesihlanu | 6, Ibanga lesithandathu | 7, ibanga lesixhenxe",NA,NA,NA,NA,NA,"[highest_education_x] = '2' and [language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"highest_grade_ofall","head_of_household_demographics",NA,"radio","When considering ALL of the adults that live in the household, what is the highest level of education that anyone has completed?","1, No education/did not attend primary school|2, Some primary|3, Completed primary|4, Some secondary|5, Completed secondary|6, Tertiary or post-secondary certification",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"highest_grade_ofall_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Xa uqwalasela BONKE abantu abadala abahlala endlwini, leliphi elona nqanaba liphakamileyo lwemfundo athe nabani na waligqiba?</p></div>","1, Abafundanga/ Abawafundanga amabanga aphantsi | 2, Amabanga aphantsi | 3, Ndigqibe amabanga aphantsi | 4, Amabanga aphezulu | 5, Ndigqibe amabanga aphezulu | 6, Imfundo enomsila",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"51","51","100",NA,NA,NA,NA,"highest_primary_ofall","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>What was the highest grade level completed?</p> <p><em>(When considering ALL of the adults that live in the household)</em></p></div>","1, Grade 1|2, Grade 2|3, Grade 3|4, Grade 4|5, Grade 5|6, Grade 6|7, Grade 7",NA,NA,NA,NA,NA,"[highest_grade_ofall] = '2' and [language_prefer] = '1'","y",NA,NA,NA,NA,NA
"196","196","100",NA,NA,NA,NA,"highest_primary_ofall_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Ngawaphi awona mabanga aphezulu abawagqibileyo?</p> <p><em>(Xa uqwalasela BONKE abantu abadala abahlala ekhaya)</em></p></div>","1, Ibanga lokuqala | 2, Ibanga lesibini | 3, Ibanga lesithathu | 4, Ibanga lesine | 5, Ibanga lesihlanu | 6, Ibanga lesithandathu | 7, ibanga lesixhenxe",NA,NA,NA,NA,NA,"[highest_grade_ofall_x] = '2' and [language_prefer] = '2'","y",NA,NA,NA,NA,NA
"731","731","100",NA,NA,NA,NA,"attend_school","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Do the children aged between 6 and 13 go to school?</p></div>","1, Yes|0, No","Enrolled and attending school the current academic year, not are they physically at the school when the survey is being conducted",NA,NA,NA,NA,"[language_prefer] = '1' and [age6to13_confirm] = '1'","y",NA,NA,NA,NA,NA
"415","415","100",NA,NA,NA,NA,"attend_school_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Ingaba abantwana abaphakathi kwe-6 ne-13 ubudala baya esikolweni?</p></div>","1, Ewe|0, Hayi","Ababhalisileyo nabahamba isikolo kulo nyaka wokufunda umiyo, abakho ngokoqobo esikolweni xa kuqhutywa uphando",NA,NA,NA,NA,"[language_prefer] = '2' and [age6to13_confirm] = '1'","y",NA,NA,NA,NA,NA
"11","11","100","0.8","1","0","2","number_not_attending_school","head_of_household_demographics",NA,"text","How many children are not attending school?",NA,NA,"number","0","20",NA,"[attend_school] = '0' and [language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1","1","100","0","0","0","0","number_not_attending_school_x","head_of_household_demographics",NA,"text","Bangaphi abantwana abangayiyo esikolweni?",NA,NA,"number","0","20",NA,"[attend_school_x] = '0' and [language_prefer] = '2'","y",NA,NA,NA,NA,NA
"11","11","100",NA,NA,NA,NA,"highest_grade_notattending","head_of_household_demographics",NA,"dropdown","What is the highest grade completed by the child/children not attending school?","1, None|2, Grade 1|3, Grade 2|4, Grade 3|5, Grade 4|6, Grade 5|7, Grade 6|8, Grade 7",NA,NA,NA,NA,NA,"[attend_school] = '0' and [language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1","1","100",NA,NA,NA,NA,"highest_grade_notattending_x","head_of_household_demographics",NA,"dropdown","Leliphi ibanga eliphezulu eligqitywe ngabantwana abangasayiyo esikolweni?","1, Alikho|2, Ibanga lokuqala|3, Ibanga lesibini|4, Ibanga lesithathu|5, Ibanga lesine|6, Ibananga lesihlanu|7, Ibanga lesithandathu|8, ibanga lesixhenxe",NA,NA,NA,NA,NA,"[attend_school_x] = '0' and [language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"child_mortality","head_of_household_demographics",NA,"radio","Has anyone living in this household ever given birth to a boy or girl who was born alive but later died?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"child_mortality_x","head_of_household_demographics",NA,"radio","Ingaba ukhona umntu ohlala kwelikhaya owakhe wazala umntana waze mva wasweleka?","1, Ewe|0, Hayi","Ekuzalweni - minyaka e-17",NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"141","141","100","1.7","1","0","14","age_child_mortality","head_of_household_demographics",NA,"text","How old was the child when they died? ",NA,"if more than one child has died, record the age of the youngest child to have died","number","0","17",NA,"[child_mortality] = '1' and [language_prefer] = '1'","y",NA,NA,NA,NA,NA
"77","77","100","3.8","1","0","27","age_child_mortality_x","head_of_household_demographics",NA,"text","Usweleke eneminyaka emingaphi umntwana?",NA,"Ukuba kungaphezulu komntwana omnye owaswelekayo, bhala iminyaka yomntwana omncinane owaswelekayo","number","0","17",NA,"[child_mortality_x] = '1' and [language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"drinking_water_e","head_of_household_demographics",NA,"dropdown","What is the main source of drinking water for members of your household?","1, Piped into dwelling/house|2, Piped to yard/plot|3, Piped to neighbor|4, Public/communal tap|5, Borehole|6, Protected well|7, Unprotected well|8, Protected spring|9, Unprotected spring|10, Rainwater|11, Water-carrier/Tanker truck|12, Cart with small tank/Water vendor|13, Surface water (river/lake/dam/pond/stream/canal/irrigation channel)|14, Bottled water|15, Other",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"drinking_water_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Ngowuphi owona mthombo wamanzi okusela wamalungu osapho lwakho?</p></div>","1, Ifakwe ngombhobho kwindawo yokuhlala/indlu | 2, Umbhobho ukuya eyadini/iploti | 3, Umbhobho ukuya kummelwane | 4, Impompo kawonke-wonke/yoluntu | 5, iBorehole | 6, Iqula elibiyelweyo | 7, Iqula elingabiyelwanga | 8, Umthombo obiyelweyo | 9, Umthombo ongabiyelwanga | 10, Amanzi emvula | 11, Ilori yokuthwala amanzi / iTanki | 12, Inqwelo enetanki encinci / umthengisi wamanzi | 13, Amanzi aphezu komhlaba (umlambo/ichibi/idama/idama/umsinga/umjelo wokunkcenkceshela) | 14, Amanzi asebhotileni | 15, Okunye",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"3","3","100",NA,NA,NA,NA,"drinking_water_specify_e","head_of_household_demographics",NA,"text"," Please specify the main source of drinking water for members of your household:",NA,NA,NA,NA,NA,NA,"[drinking_water_e] = '15'","y",NA,NA,NA,NA,NA
"1","1","100",NA,NA,NA,NA,"drinking_water_specify_x","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p>Nceda uchaze owona mthombo wamanzi okusela wamalungu osapho lwakho:</p></div>",NA,NA,NA,NA,NA,NA,"[drinking_water_x] = '15'","y",NA,NA,NA,NA,NA
"576","576","100",NA,NA,NA,NA,"water_located_e","head_of_household_demographics",NA,"dropdown","Where is that water source located?","1, In own dwelling|2, In own yard/plot|3, Elsewhere/outside yard",NA,NA,NA,NA,NA,"[drinking_water_e] = '4' or [drinking_water_e] = '5' or [drinking_water_e] = '6' or [drinking_water_e] = '7' or [drinking_water_e] = '8' or [drinking_water_e] = '9' or [drinking_water_e] = '10' or [drinking_water_e] = '11' or [drinking_water_e] = '12' or [drinking_water_e] = '13' or [drinking_water_e] = '15'",NA,NA,NA,NA,NA,NA
"235","235","100",NA,NA,NA,NA,"water_located_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Uphi lo mthombo wamanzi</p></div>","1, Kwindawo yokuhlala | 2, Kwiyadi/kwibala lakho | 3, Kwenye indawo/ngaphandle kweyadi",NA,NA,NA,NA,NA,"[drinking_water_x] = '4' or [drinking_water_x] = '5' or [drinking_water_x] = '6' or [drinking_water_x] = '7' or [drinking_water_x] = '8' or [drinking_water_x] = '9' or [drinking_water_x] = '10' or [drinking_water_x] = '11' or [drinking_water_x] = '12' or [drinking_water_x] = '13' or [drinking_water_x] = '15'","y",NA,NA,NA,NA,NA
"2396","2396","100","8.7","2","0","998","time_for_water","head_of_household_demographics",NA,"text","How long does it take to go there, get water, and come back? (How many MINUTES)",NA,"Insert ""998"" here if the participant does not know","number","1","480",NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100","14.3","2","1","998","time_for_water_x","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p> </p> <p>Kuthatha ixesha elingakanani ukuya apho, ukukha amanzi, nokubuya? (Mingaphi imizuzu)</p></div>",NA,"Insert ""998"" here if the participant does not know","number","1","480",NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"toilet_e","head_of_household_demographics",NA,"dropdown","What kind of toilet facility do members of your household usually use?","1, Flush to piped sewer system|2, Flush to septic tank|3, Flush to pit latrine|4, Flush to somewhere else|5, Flush, don't know where|6, Ventilated improved pit latrine|7, Pit latrine with ventilation pipe but no gauze/mesh/netting|8, Pit latrine without ventilation pipe|9, Composting toilet/ecological sanitation system|10, Chemical toilet|11, Bucket toilet|12, No facility/bush/field",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"toilet_e_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Loluphi uhlobo lwendlu yangasese edla ngokusetyenziswa ngamalungu osapho lwakho?</p></div>","1, Gungxulela kumbhobho wogutyulo|2, Gungxulela kwitanki logutyula|3, Ndlu yangasese engagungxulwayo|4, Gungxulela kwenye indawo|5, Gungxulela noba kuphi|6, Indlu yangasese ephuculweyo enomngxuma ephuma umoya|7, Indlu yangasese yomngxuma enombhobho wokungenisa umoya kodwa ayinayasuyasu/umnatha/inethi|8, indlu yangasese yomngxuma ngaphandle kombhobho wokungenisa umoya|9, Ukwenziwa komgquba kwindlu yangasese/inkqubo yococeko lwendalo|10, Indlu yangasese esebenzisa izibulali ntsholongwane|11, Ibhakethi yangasese|12, Endle / ityholo / intsimi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"fuel_e","head_of_household_demographics",NA,"dropdown","What type of energy/fuel does your household mainly use for cooking?","1, Electricity from mains|2, Electricity from generator|3, Electricity from other source|4, Solar energy|5, Gas|6, Paraffin|7, Coal|8, Wood|9, Straw/Shrubs/Grass|10, Agricultural crop|11, Animal dung|12, No food cooked in household|13, Other",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"fuel_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Loluphi uhlobo lwamandla/lokubasa olusetyenziswa likhaya lakho ukupheka?</p></div>","1, Umbane ovela kwii-mains|2, Umbane ovela kwijenereyitha|3, Umbane osuka komnye umthombo|4, Amandla elanga|5, Irhasi|6, IParafini|7, Amalahle|8, Iinkuni|9, Amahlahla/Amatyholo/Ingca|10, Iindiza|11, Amalongwe|12, Akukho kutya kuphekwa endlwini|13, Okunye",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"28","28","100",NA,NA,NA,NA,"fuel_specify_e","head_of_household_demographics",NA,"text","Please specify main energy/fuel used for cooking:",NA,NA,NA,NA,NA,NA,"[fuel_e] = '13'","y",NA,NA,NA,NA,NA
"8","8","100",NA,NA,NA,NA,"fuel_specify_x","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p>Nceda uchaze awona mandla aphambili/amafutha asetyenziswa ekuphekeni:</p></div>",NA,NA,NA,NA,NA,NA,"[fuel_x] = '13'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"cooking_place_e","head_of_household_demographics",NA,"dropdown","Is the cooking usually done in the house, in a separate building, or outdoors?","1, In the house|2, In a separate building|3, Outdoors|4, Other",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"cooking_place_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Ingaba kudla ngokuphekwa endlwini, kwisakhiwo esahlukileyo okanye ngaphandle?</p></div>","1, Endlini|2, Kwisakhiwo esahlukileyo|3, Ngaphandle|4, Okunye",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"0","0","NaN",NA,NA,NA,NA,"cooking_place_specify_e","head_of_household_demographics",NA,"text","Please specify where cooking is usually done:",NA,NA,NA,NA,NA,NA,"[cooking_place_e] = '4'","y",NA,NA,NA,NA,NA
"0","0","NaN",NA,NA,NA,NA,"cooking_place_specify_x","head_of_household_demographics",NA,"text","<div class=""rich-text-field-label""><p>Nceda ucacise apho kuphekwa khona:</p></div>",NA,NA,NA,NA,NA,NA,"[cooking_place_x] = '4'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"seperate_cook_space_e","head_of_household_demographics",NA,"radio","Do you have a separate room which is used as a kitchen?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"seperate_cook_space_e_2","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Ingaba unalo igumbi elahlukileyo elisetyenziswa njengekhitshi?</p></div>","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"mains_elec_e","head_of_household_demographics",NA,"radio","Does your household have electricity that is connected to the mains?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"mains_elec_x","head_of_household_demographics",NA,"radio","<div class=""rich-text-field-label""><p>Ingaba ikhaya lakho linawo umbane oqhagamshelwe koomatshini bombane?</p></div>","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset1","head_of_household_demographics","Does your household have any of the following in WORKING condition?","radio","A radio?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset2","head_of_household_demographics",NA,"radio","A television?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset3","head_of_household_demographics",NA,"radio","A landline telephone?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset4","head_of_household_demographics",NA,"radio","A desktop or laptop computer?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset5","head_of_household_demographics",NA,"radio","A refrigerator?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset6","head_of_household_demographics",NA,"radio","A vacuum cleaner or floor polisher?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset7","head_of_household_demographics",NA,"radio","A microwave oven?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset8","head_of_household_demographics",NA,"radio","An electric or gas stove?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"2396","2396","100",NA,NA,NA,NA,"asset9","head_of_household_demographics",NA,"radio","A washing machine?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"hh_assets_121",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset1_x","head_of_household_demographics","Ingaba ikhaya lakho linazo naziphi na kwezi zilandelayo EZISEBENZAYO?","radio","Unomathotholo?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset2_x","head_of_household_demographics",NA,"radio","Umabonakude?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset3_x","head_of_household_demographics",NA,"radio","Imfono-mfono yasendlini?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset4_x","head_of_household_demographics",NA,"radio","Ikhompyutha?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset5_x","head_of_household_demographics",NA,"radio","Isikhenkcezisi?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1188","1189","99.9",NA,NA,NA,NA,"asset6_x","head_of_household_demographics",NA,"radio","Ivatyum?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset7_x","head_of_household_demographics",NA,"radio","Isifudumezi kutya?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1188","1189","99.9",NA,NA,NA,NA,"asset8_x","head_of_household_demographics",NA,"radio","Isitovu serhasi okanye sombane?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"asset9_x","head_of_household_demographics",NA,"radio","Matshini wokuhlamba impahla?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"hh_assets_121_x",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own1","head_of_household_demographics","Does ANY member of this household own any of the following in WORKING condition:

MUST NOT APPEAR AGAIN - PLEASE CHECK","radio","A watch?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own2","head_of_household_demographics",NA,"radio","A cell phone?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own3","head_of_household_demographics",NA,"radio","A bicycle?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own4","head_of_household_demographics",NA,"radio","A motorcycle or motor scooter?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own5","head_of_household_demographics",NA,"radio","An animal-drawn cart?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own6","head_of_household_demographics",NA,"radio","A car, bakkie, van or truck?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"2396","2396","100",NA,NA,NA,NA,"own7","head_of_household_demographics",NA,"radio","A boat with a motor?","1, Yes|0, No",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,"assets_e",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own1_x","head_of_household_demographics","INGABA naliphi na ilungu leli khaya linayo nayiphi na kwezi zilandelayo ekwimeko ESEBENZAYO:","radio","Iwatshi?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own2_x","head_of_household_demographics",NA,"radio","Iselula?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own3_x","head_of_household_demographics",NA,"radio","Ibhayisekile?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own4_x","head_of_household_demographics",NA,"radio","Isithuthuthu?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1188","1189","99.9",NA,NA,NA,NA,"own5_x","head_of_household_demographics",NA,"radio","Inqwelo?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own6_x","head_of_household_demographics",NA,"radio","Imoto, ibhaki, ivan or ilori?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"1189","1189","100",NA,NA,NA,NA,"own7_x","head_of_household_demographics",NA,"radio","Isikhitshane?","1, Ewe | 0, Hayi",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,"assets_x",NA,NA
"2396","2396","100",NA,NA,NA,NA,"floor","head_of_household_demographics",NA,"dropdown","How would you describe the floor of your house?","1, Earth/sand|2, Dung|3, Wood planks|4, Laminated or Polished Wood|5, Vinyl/asphalt strips|6, Ceramic tiles|7, Cement|8, Carpet|9, Other",NA,NA,NA,NA,NA,"[language_prefer] = '1'","y",NA,NA,NA,NA,NA
"1189","1189","100",NA,NA,NA,NA,"floor_x","head_of_household_demographics",NA,"dropdown","<div class=""rich-text-field-label""><p>Ungawuchaza njani umgangatho/ flori yendlu yakho?</p></div>","1, Umhlaba/isanti|2, Ubulongwe|3, Iplanga|4, Iinkuni eziLaminated okanye ezikhazimlisiweyo|5, Iplange elincanyathiselweyo|6, Iithayile zeCeramic|7, Isamente|8, Ikhaphethi|9, Okunye",NA,NA,NA,NA,NA,"[language_prefer] = '2'","y",NA,NA,NA,NA,NA
