"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tbip_q2_gender_role_6,index_questionnaire_2,,radio,"6. Being physically stronger than other men is important to me","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_7,index_questionnaire_2,,radio,"7. I always strive to win in sports competitions.","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_8,index_questionnaire_2,,radio,"8. Having a girlfriend or wife is part of my idea of being a successful man","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_9,index_questionnaire_2,,radio,"9. Making more money than woman is a measure of my value and personal worth","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_10,index_questionnaire_2,,radio,"10. Being outperformed at work by a woman would make me uncomfortable","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_11,index_questionnaire_2,,radio,"11. I would be concerned if my friends knew I lived with a woman and did any housework.","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_12,index_questionnaire_2,,radio,"12. I do not like to let woman take control of the situation","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_13,index_questionnaire_2,,radio,"13. I would be concerned if my friends knew I stayed at home to take care of children while my wife goes to work.","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_14,index_questionnaire_2,,radio,"14. Having a female boss would be difficult for me","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_15,index_questionnaire_2,,radio,"15. I have difficulty telling others I care about them","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_16,index_questionnaire_2,,radio,"16. Talking about my feelings during or after sex is difficult for me","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_17,index_questionnaire_2,,radio,"17. I often have trouble finding words to describe how I am feeling","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_18,index_questionnaire_2,,radio,"18. I do not like to show my emotions to other people","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_19,index_questionnaire_2,,radio,"19. Having someone see me cry would be difficult for me","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_20,index_questionnaire_2,,radio,"20. Being able to perform sexually is important to me as a man","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_21,index_questionnaire_2,,radio,"21. I feel that I always need to be ready for sex with my partner, even if I am tired","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_22,index_questionnaire_2,,radio,"22. I worry about being unable to become sexually aroused when I want","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_23,index_questionnaire_2,,radio,"23. It is important to me to now I can drink as much or more than others","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_gender_role_24,index_questionnaire_2,,radio,"24. Having sex is part of being a successful man","0, Do not agree at all | 1, Somewhat agree | 2, Agree a lot",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_gender_role_masculinity,,
tbip_q2_masc_chronic_d_start_e,index_questionnaire_2,"<div class=""rich-text-field-label""><h6 style=""text-align: center;"">  <span style=""font-weight: normal;"">SECTION 18: MASCULINITY</span></h6> <p style=""text-align: center;""> </p></div>",descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #236fa1;"">The following section is about your beliefs about <span style=""text-decoration: underline;"">masculinity</span>.</span><span style=""color: #236fa1;""> Indicate how you feel about each statement.</span></h5></div>",,,,,,,"[tbip_q1_language_prefer]<>""""",,LV,,,,
tbip_q2_masc_chronic_d1,index_questionnaire_2,,radio,"1. Being physically strong is important to me","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d2,index_questionnaire_2,,radio,"2. I like to know I am looking after my partner or family","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d3,index_questionnaire_2,,radio,"3. Having a good level of fitness is important to me","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d4,index_questionnaire_2,,radio,"4. I am a fighter","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d5,index_questionnaire_2,,radio,"5. I need to provide financial security for my partner or family","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d6,index_questionnaire_2,,radio,"6. Being an active person in important to me","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d7,index_questionnaire_2,,radio,"7. Being able to provide for my partner or family is important to me","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d8,index_questionnaire_2,,radio,"8. I am a competitive person","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_masc_chronic_d9,index_questionnaire_2,,radio,"9. It's up to me to protect my partner or family","1, Not at all true | 2, Somewhat true | 3, Very true",,,,,,[tbip_sc_gender]='1',y,,,tbip_q2_masculinity_chronic_disease,,
tbip_q2_pmb_q1,index_questionnaire_2,"<div class=""rich-text-field-label""><h6 style=""margin-left: 54pt; text-align: center;""><span style=""font-weight: normal;"">SECTION 19: PRECARIOUS MANHOOD BELIEFS</span></h6> <p style=""margin-left: 54pt; text-align: center;""> </p></div>",yesno,"1. It is fairly easy for a man to lose his status as a man",,,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_pmb_q2,index_questionnaire_2,,yesno,"2. Some boys do not become men, no matter how old they get.",,,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_pmb_q3,index_questionnaire_2,,yesno,"3. Other people often question whether a man is a 'real man'.",,,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_pmb_q4,index_questionnaire_2,,yesno,"4. Manhood is not assured - it can be lost.",,,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_instruct32_ss,index_questionnaire_2,"<div class=""rich-text-field-label""><h6 style=""text-align: center;""><span style=""font-weight: normal;"">SECTION 20: FOOD SECURITY</span></h6> <p style=""text-align: center;""> </p></div>",descriptive,"<div class=""rich-text-field-label""><h6><span style=""color: #236fa1;"">You will now read several statements that people have made about their <span style=""text-decoration: underline;"">food situation</span>. For these statements, please tell me whether the statement was often true, sometimes true, or never true for your household <span style=""text-decoration: underline;"">in the last 30 days</span>.</span></h6></div>",,,,,,,"[tbip_q1_language_prefer]<>""""",,LV,,,,
tbip_q2_fs_c1,index_questionnaire_2,,radio,"1. We worried whether our food would run out before we could get more or get money to buy more.   Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_food_security3,,
tbip_q2_fs_c2,index_questionnaire_2,,radio,"2. The food that we had just didn't last, and we were not able to get or afford more.   Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_food_security3,,
tbip_q2_fs_c3,index_questionnaire_2,,radio,"3. We were not able get or afford healthy meals. Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_food_security3,,
tbip_q2_fs_c4,index_questionnaire_2,,radio,"4. In the last 30 days, did you or other adults in your household ever cut the size of your meals or skip meals because you were not able to get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c4a,index_questionnaire_2,,radio,"4a. How often did this happen -- almost every day, some days but not every day, or in only 1 or 2 days?","3, Almost every day (25 days or more) | 2, Some days but not every day (more than 2 days but less than 25 days) | 1, Only 1 or 2 days | 98, Don't Know",,,,,,[tbip_q2_fs_c4]='1',y,LV,,,,
tbip_q2_fs_c5,index_questionnaire_2,,radio,"5. In the last 30 days, did you ever eat less than you felt you should because you were not able to get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c6,index_questionnaire_2,,radio,"6. In the last 30 days, were you ever hungry but didn't eat because you couldn't get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c7,index_questionnaire_2,,radio,"7. In the last 30 days, did you lose weight because you were not able to get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c8,index_questionnaire_2,,radio,"8. In the last 30 days, did you or other adults in your household ever not eat for a whole day because you were not able to get or afford food?","1, Yes | 0, No | 98, Don't Know",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c8a,index_questionnaire_2,,radio,"8a. [If Yes to above] How often did this happen --almost every day, some days but not every day, or in only 1 or 2 days.","3, Almost every day (25 days or more) | 2, Some days but not every day (more than 2 days but less than 25 days) | 1, Only 1 or 2 days | 98, Don't Know",,,,,,[tbip_q2_fs_c8]='1',y,LV,,,,
tbip_q2_fs_c_child_age,index_questionnaire_2,,radio,"Do you have a child who is less than 18 years of age in your household?","1, Yes | 0, No",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_fs_c9,index_questionnaire_2,"
",radio,"9. We relied on only a few kinds of low-cost food to feed the children because we couldn't get or afford more food.   Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,[tbip_q2_fs_c_child_age]='1',y,,,tbip_q2_food_security11,,
tbip_q2_fs_c10,index_questionnaire_2,,radio,"10. We couldn't feed the children a healthy meal, because we were not able to get or afford healthy food.   Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,[tbip_q2_fs_c_child_age]='1',y,,,tbip_q2_food_security11,,
tbip_q2_fs_c11,index_questionnaire_2,,radio,"11. The children in our household were not eating enough because we just couldn't get or afford enough food.   Did this happen often, sometimes, or never in the last 30 days?","3, Often | 2, Sometimes | 1, Never | 98, I don't know",,,,,,[tbip_q2_fs_c_child_age]='1',y,,,tbip_q2_food_security11,,
tbip_q2_fs_c12,index_questionnaire_2,,radio,"12. In the last 30 days, did you ever have to reduce the portions of any of the children's meals because you were not able to get or afford enough  food?","1, Yes | 0, No | 98, Don't Know",,,,,,[tbip_q2_fs_c_child_age]='1',y,LV,,,,
tbip_q2_fs_c13,index_questionnaire_2,,radio,"13. In the last 30 days, did any of the children ever skip meals because you were not able to get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,[tbip_q2_fs_c_child_age]='1',y,LV,,,,
tbip_q2_fs_c13a,index_questionnaire_2,,radio,"13a. How often did this happen -- almost every day, some days but not every day, or in only 1 or 2 days?","3, Almost every day (25 days or more) | 2, Some days but not every day (more than 2 days but less than 25 days) | 1, Only 1 or 2 days | 98, Don't Know",,,,,,[tbip_q2_fs_c13]='1',y,LV,,,,
tbip_q2_fs_c14,index_questionnaire_2,,radio,"14. In the last 30 days, were the children in your household ever hungry but you just were not able to get or afford more food?","1, Yes | 0, No | 98, Don't Know",,,,,,[tbip_q2_fs_c_child_age]='1',y,LV,,,,
tbip_q2_fs_c15,index_questionnaire_2,,radio,"15. In the last 30 days, did any of the children in your household ever not eat for a whole day because you were not able to get or afford enough food?","1, Yes | 0, No | 98, Don't Know",,,,,,[tbip_q2_fs_c_child_age]='1',y,LV,,,,
tbip_q2_instruct13_ss,index_questionnaire_2,"<div class=""rich-text-field-label""><h6 style=""text-align: center;""><span style=""font-weight: normal;"">SECTION 21A: POVERTY STIGMA PERCEIVED CAUSES</span></h6> <p style=""text-align: center;""> </p></div>",descriptive,"<div class=""rich-text-field-label""><h5><span style=""color: #236fa1;"">The following section is about your beliefs about <span style=""text-decoration: underline;"">poverty</span></span><span style=""color: #236fa1;"">. Indicate how you feel about each statement. </span><span style=""color: #236fa1;"">Please indicate whether you Strongly Disagree, Disagree, Neither disagree or agree, Agree or Strongly Agree with each of the following statements</span></h5></div>",,,,,,,"[tbip_q1_language_prefer]<>""""",,LV,,,,
tbip_q2_psp_d1,index_questionnaire_2,"
",radio,"1. Poor people are poor because they lack the ability to manage money","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d2,index_questionnaire_2,,radio,"2. Poor people are poor because they waste their money on inappropriate items","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d3,index_questionnaire_2,,radio,"3. Poor people are poor because they do not actively seek to improve their lives","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d4,index_questionnaire_2,,radio,"4. Poor people are poor because they do not really want to work","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d5,index_questionnaire_2,,radio,"5. Poor people are poor because they do not make a sufficient effort to find work","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d6,index_questionnaire_2,,radio,"6. Poor people are poor because they lack sufficient self motivation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d7,index_questionnaire_2,,radio,"7. Poor people are poor because they prefer to have others take care of them","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d8,index_questionnaire_2,,radio,"8. Poor people are poor because they do not take enough responsibility for themselves","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d9,index_questionnaire_2,,radio,"9. Poor people are poor because they are exploited by rich people","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d10,index_questionnaire_2,,radio,"10. Poor people are poor because society is not fair","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d11,index_questionnaire_2,,radio,"11. Poor people are poor because the wealth in society is not equally distributed","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d12,index_questionnaire_2,,radio,"12. Poor people are poor because they lack opportunities because they live in poor families","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d13,index_questionnaire_2,,radio,"13. Poor people are poor because the government does not help people in economic difficulties","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d14,index_questionnaire_2,,radio,"14. Poor people are poor because of their social situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d15,index_questionnaire_2,,radio,"15. Poor people are poor because of the historical groups (e.g. Race, Ethnic group/tribe) they belong to","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d16,index_questionnaire_2,,radio,"16. Poor people are poor because of social things","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d17,index_questionnaire_2,,radio,"17. Poor people are poor because society does not provide the basic needs (eg. Food, shelter, clothing) of the person","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d18,index_questionnaire_2,,radio,"18. Poor people are poor because society fails to create sufficient jobs","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d19,index_questionnaire_2,,radio,"19. Poor people are poor because they were meant to be poor","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d20,index_questionnaire_2,,radio,"20. Poor people are poor because they lack luck","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d21,index_questionnaire_2,,radio,"21.Poor people are poor because they have experienced difficulties","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d22,index_questionnaire_2,,radio,"22. Poor people are poor because they are not motivated because they receive social grants","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_psp_d23,index_questionnaire_2,,radio,"23. Poor people are poor because they were born less important than others","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,,,tbip_q2_psp,,
tbip_q2_ips_q1,index_questionnaire_2,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h6 style=""text-align: center;""><span style=""font-weight: normal;"">SECTION 21B: INTERNALISED POVERTY STIGMA</span></h6> <p style=""text-align: center;""> </p> </div></div>",radio,"1. I feel that I am odd or abnormal because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,,,
tbip_q2_ips_q2,index_questionnaire_2,,radio,"2. There have been times when I have felt ashamed because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_ips,,
tbip_q2_ips_q3,index_questionnaire_2,,radio,"3. I feel self-conscious when I am in public","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_ips,,
tbip_q2_ips_q4,index_questionnaire_2,,radio,"4. I feel embarrassed about my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_ips,,
tbip_q2_eps_q1,index_questionnaire_2,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h6 style=""text-align: center;""><span style=""font-weight: normal;"">SECTION 21C: EXPERIENCED POVERTY STIGMA</span></h6> <p style=""text-align: center;""> </p> </div></div>",radio,"1. I feel that others look down on me because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_eps,,
tbip_q2_eps_q2,index_questionnaire_2,,radio,"2. People treat me differently because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_eps,,
tbip_q2_eps_q3,index_questionnaire_2,,radio,"3. I have found that people say negative or unkind things about me behind my back because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_eps,,
tbip_q2_eps_q4,index_questionnaire_2,,radio,"4. I have been excluded from work, school, and/or family functions because of my financial situation","1, Strongly Disagree | 2, Disagree | 3, Neither Disagree nor Agree | 4, Agree | 5, Strongly Agree",,,,,,"[tbip_q1_language_prefer]<>""""",y,LV,,tbip_q2_eps,,
tbip_q2_end_intruction,index_questionnaire_2,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: center;""><span style=""color: #2dc26b;"">FW please check if all Questionnaire 2 questions are answered, save the form as UNVERIFIED and then proceed to Questionnaire 3.</span></h5> <p> </p> <p> </p></div>",,,,,,,"[tbip_q1_language_prefer]<>""""",,,,,,
tbip_f2_instruct23,index_follow_up_questionnaire_2,"<div class=""rich-text-field-label""><h6 style=""text-align: center;"">SECTION 13: SOCIAL SUPPORT</h6></div>",descriptive,"<div class=""rich-text-field-label""><h5><span style=""color: #169179;"">I will read statements out loud. We are interested in how you feel about the following statements about <span style=""text-decoration: underline;"">Social Support</span>. Would you very strongly disagree, strongly disagree, mildly disagree, neutral, mildly agree, strongly agree or, very strongly agree? </span></h5></div>",,,,,,,,,LV,,,,
tbip_f2_ss1,index_follow_up_questionnaire_2,"<div class=""rich-text-field-label""></div>",radio,"1. There is a special person who is around when I am in need.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss2,index_follow_up_questionnaire_2,,radio,"2. There is a special person with whom I can share my joys and sorrows.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss3,index_follow_up_questionnaire_2,,radio,"3. My family really tries to help me.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss4,index_follow_up_questionnaire_2,,radio,"4. I get the emotional help and support I need from my family.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss5,index_follow_up_questionnaire_2,,radio,"5. I have a special person who is a real source of comfort to me.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss6,index_follow_up_questionnaire_2,,radio,"6. My friends really try to help me.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss7,index_follow_up_questionnaire_2,,radio,"7. I can count on my friends when things go wrong.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss8,index_follow_up_questionnaire_2,,radio,"8. I can talk about my problems with my family.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
tbip_f2_ss9,index_follow_up_questionnaire_2,,radio,"9. I have friends with whom I can share my joys and sorrows.","1, Very Strongly Disagree|2, Strongly Disagree|3, Mildly Disagree|4, Neutral|5, Mildly Agree|6, Strongly Agree|7, Very Strongly Agree",,,,,,,y,,,tbip_f2_pss,,
